company,type,contact_name,title,email,phone,url,location,containers_per_mo,source,notes
Commodity Forwarders Inc (CFI),Forwarder,,,,,cfiperishables.com/contact,"Los Angeles, CA",150,Web search,"Perishable specialist since 1974; 15 US locations. Mid-size, strong fit. Find import-dept contact via contact page."
Gallagher Transport International,Broker,,,,,gallaghertransport.com,"Los Angeles / Long Beach, CA",90,Web search,Customs broker + freight forwarder serving LA/LB. Good small/mid fit.
Packair Airfreight,Forwarder,,,,,packair.com,"Long Beach, CA",70,Web search,Customs broker Long Beach; imports & exports.
AC Shipping,Forwarder,,,,973-732-1892,,"Newark, NJ",60,Web search,"34 Albert Ave, Newark NJ 07105. Small independent — strong fit."
Seafrigo America,Forwarder,,,,,seafrigo-america.com/customs-brokerage,"Newark, NJ",120,Web search,Perishable + seafood customs clearance specialist. NY/NJ forwarders assoc member. Strong fit.
AIT Worldwide Logistics (Newark),Forwarder,,,,,aitworldwide.com/locations/newark-new-jersey-2,"Newark, NJ",100,Web search,In-house customs brokerage; Newark branch.
Zarach Logistics,Forwarder,,,,,zarachlogistics.com/industries/perishable-foods-seafood,"Miami, FL",80,Web search,Perishable foods & seafood logistics focus.
Share Logistics (Fresh),Forwarder,,,,,sharelogistics.com/fresh,"Miami, FL",70,Web search,Perishable & fresh-produce logistics.
LA Customs Brokers & FF Assoc (directory),Broker,,,,,lacbffa.org,"Los Angeles, CA",0,Directory,"NOT a prospect — a DIRECTORY of LA/LB brokers. Mine its member list for more leads."
NY/NJ Forwarders & Brokers Assoc (directory),Broker,,,,,nynjforwarders-brokers.org,"Newark, NJ",0,Directory,"NOT a prospect — DIRECTORY of NY/NJ members. Mine for more leads."
